dataset,model,MAE,RMSE,MdAE,MASE,MdASE,rank_MAE,rank_RMSE,rank_MdAE,rank_MASE,rank_MdASE
China,RandomForest,2339.286804743046,4962.054740698345,863.57773262356,0.7578733366017066,0.6606334346596003,1.0,1.0,1.0,1.0,1.0
China,GradientBoosting,2378.3012820083923,5043.250075754683,911.4019863924003,0.7702778786372386,0.6977851559780416,2.0,2.0,2.0,2.0,2.0
China,DummyMedian,3118.7820707070705,6659.166163160298,1323.27,1.0118091122446755,1.0093004493795867,3.0,4.0,4.0,3.0,4.0
China,DummyMean,3700.583230466317,6362.262567377881,2794.5115214285715,1.1972403836869554,2.12582487901254,4.0,3.0,5.0,4.0,5.0
China,ElasticNet,7435.452419972315,50262.410406292845,1196.6077661843672,2.4298380452143062,0.9135420908388678,5.0,5.0,3.0,5.0,3.0
NASA93,GradientBoosting,313.64672172569897,653.9945442414318,84.13430822110817,0.6200570021581118,0.4264247813664634,1.0,1.0,2.0,1.0,2.0
NASA93,RandomForest,336.32484529277446,749.3760171103049,75.91435462927082,0.6703251799303294,0.3807476748554239,2.0,2.0,1.0,2.0,1.0
NASA93,DummyMedian,539.3644795321637,1044.7055660055228,213.058,1.0637007013252004,1.0309501177977511,3.0,4.0,4.0,3.0,4.0
NASA93,DummyMean,645.8301375143565,1019.5443842590923,500.0137225225225,1.2534289872782178,2.4091047608797624,4.0,3.0,5.0,4.0,5.0
NASA93,ElasticNet,1232.9314812981806,4247.06814745368,139.7743463151286,2.5441786339725416,0.6958406558134814,5.0,5.0,3.0,5.0,3.0
