dataset,model,MAE_mean,MAE_median,MAE_std,MAE_iqr,RMSE_mean,RMSE_median,RMSE_std,RMSE_iqr,MdAE_mean,MdAE_median,MdAE_std,MdAE_iqr,MASE_mean,MASE_median,MASE_std,MASE_iqr,MdASE_mean,MdASE_median,MdASE_std,MdASE_iqr
China,DummyMean,3700.583230466317,3646.6066416040107,394.32070113727383,537.9916762075636,6362.262567377881,6367.817542501889,1276.8136534744572,1736.1505643974542,2794.5115214285715,2806.374260651629,215.2463513238409,310.3558395989976,1.1972403836869554,1.1723679609550433,0.1777810467373926,0.25358603941417135,2.12582487901254,2.134091146104912,0.13987539184436884,0.18931649743288714
China,DummyMedian,3118.7820707070705,3126.26,519.1419765048777,610.163106060606,6659.166163160298,6795.512682223742,1376.9528488865674,1849.8338823025833,1323.27,1345.5,93.9194297561175,117.625,1.0118091122446755,1.0064194225107732,0.21241480954494205,0.24525581915382266,1.0093004493795867,1.021271867339514,0.0934557026121115,0.1279975022540456
China,ElasticNet,7435.452419972315,3002.5363079012736,22596.19672823516,644.207075550135,50262.410406292845,6299.836251044153,222943.10268315527,1828.592815992377,1196.6077661843672,1223.7511503099258,91.29255167144835,97.66079309103407,2.4298380452143062,0.9613000390260684,7.463508811830067,0.24669684201605246,0.9135420908388678,0.9307756686963755,0.09584968178253978,0.10257167834052672
China,GradientBoosting,2378.3012820083923,2347.263315921309,414.8404377718675,511.55077238245485,5043.250075754683,4944.861940013816,1250.50800400574,1861.3754476346185,911.4019863924003,917.5430717592322,157.7591639099436,190.17175961089345,0.7702778786372386,0.7412921863871891,0.16077131413995957,0.17988945529221345,0.6977851559780416,0.6906293220727495,0.14186094253115636,0.18053197267225451
China,RandomForest,2339.286804743046,2281.788320225036,380.5998547504225,448.357528217467,4962.054740698345,4847.824939552525,1104.3337134580427,1665.02125253155,863.57773262356,866.0635707319744,152.80334502809143,207.37895765810072,0.7578733366017066,0.7430071710793196,0.15225710919823657,0.16862913936047186,0.6606334346596003,0.6487686740727616,0.13475872904612143,0.2036049707568055
NASA93,DummyMean,645.8301375143565,631.0439320373005,161.69885185185422,251.76750208102845,1019.5443842590923,798.115986176171,512.3926444571231,663.1722632601266,500.0137225225225,503.5743243243243,64.68190262750834,93.2257432432433,1.2534289872782178,1.1830748965931837,0.46279756017590434,0.5991359541266164,2.4091047608797624,2.4305551078601537,0.2641185081946106,0.25338246244726825
NASA93,DummyMedian,539.3644795321637,535.5100877192983,213.43253042038785,316.1035087719298,1044.7055660055228,898.5537441916686,567.1997613083012,761.7203527037752,213.058,214.1,33.53562279007753,37.375,1.0637007013252004,1.0009796797750226,0.5496878965008207,0.7260539807239633,1.0309501177977511,1.0,0.19091391465890178,0.15809881257424163
NASA93,ElasticNet,1232.9314812981806,487.99558001125774,2031.1117758168168,427.688230849953,4247.06814745368,913.4115922890503,8561.49806410826,1335.4138980783987,139.7743463151286,135.82695979088362,55.644439240869026,53.13314139519498,2.5441786339725416,0.9100461266901744,4.419863655102581,1.0046500160403733,0.6958406558134814,0.6459763752709409,0.32497212870554876,0.33190243605759095
NASA93,GradientBoosting,313.64672172569897,288.928036521432,152.3753731955055,188.15309075518928,653.9945442414318,569.4380355977569,365.88376195765386,374.0354615947293,84.13430822110817,75.07203537177499,52.944931316535964,49.506619542426506,0.6200570021581118,0.5295275933128962,0.3802645833747373,0.4150753326553469,0.4264247813664634,0.36733087848909873,0.3097475570308361,0.2813296989302781
NASA93,RandomForest,336.32484529277446,319.96336158551935,175.37819526313723,228.10431890475493,749.3760171103049,607.0141045980831,469.6066243472726,471.33840927929293,75.91435462927082,63.73932108096275,42.49174516596113,53.8877362160307,0.6703251799303294,0.598020042931427,0.4313600667850737,0.5018937574630984,0.3807476748554239,0.32049520519470764,0.24167540715575464,0.3057602582762987
