dataset,model,metric,mean,std,coef_var
China,DummyMean,MAE,3700.583230466317,390.3575784309605,0.10548542057266902
China,DummyMean,RMSE,6362.262567377881,1263.9810297567033,0.19866847939217464
China,DummyMean,MdAE,2794.511521428572,213.08301650544985,0.07625054141689777
China,DummyMean,MASE,1.1972403836869554,0.17599425720023398,0.14699993261858782
China,DummyMean,MdASE,2.12582487901254,0.13846957333199023,0.06513686712752258
China,DummyMedian,MAE,3118.7820707070705,513.9243367792609,0.16478366398364583
China,DummyMedian,RMSE,6659.166163160298,1363.113775550558,0.20469736632936134
China,DummyMedian,MdAE,1323.27,92.975491932014,0.070261920795689
China,DummyMedian,MASE,1.0118091122446755,0.2102799331551485,0.207825694127611
China,DummyMedian,MdASE,1.0093004493795865,0.09251642548060834,0.09166390901821037
China,ElasticNet,MAE,7435.452419972315,22369.0935097845,3.0084374488994046
China,ElasticNet,RMSE,50262.410406292845,220702.41161643906,4.391003332955223
China,ElasticNet,MdAE,1196.607766184367,90.37501530218617,0.07552601433434657
China,ElasticNet,MASE,2.429838045214306,7.38849676920683,3.0407362965410396
China,ElasticNet,MdASE,0.9135420908388678,0.09488634394820918,0.10386641607549228
China,GradientBoosting,MAE,2378.3012820083923,410.6710813224369,0.17267412014928268
China,GradientBoosting,RMSE,5043.250075754683,1237.9397653847184,0.2454646798765012
China,GradientBoosting,MdAE,911.4019863924003,156.17360443305765,0.17135534787402165
China,GradientBoosting,MASE,0.7702778786372387,0.1591554810280933,0.20662086160835824
China,GradientBoosting,MdASE,0.6977851559780416,0.14043516822901406,0.20125846044917695
China,RandomForest,MAE,2339.286804743046,376.7746334976942,0.1610638903840906
China,RandomForest,RMSE,4962.054740698345,1093.234600470745,0.22031893189366208
China,RandomForest,MdAE,863.57773262356,151.26759404029164,0.17516384260972911
China,RandomForest,MASE,0.7578733366017066,0.15072684815710727,0.19888131550339422
China,RandomForest,MdASE,0.6606334346596003,0.13340433558563022,0.20193397210516412
NASA93,DummyMean,MAE,645.8301375143564,160.07369651633505,0.247857272703224
NASA93,DummyMean,RMSE,1019.5443842590923,507.2428389360352,0.49751913380374874
NASA93,DummyMean,MdAE,500.0137225225224,64.03181675514276,0.12806011889199287
NASA93,DummyMean,MASE,1.2534289872782178,0.45814621036375974,0.3655142902857761
NASA93,DummyMean,MdASE,2.4091047608797624,0.26146398345379745,0.10853159506147815
NASA93,DummyMedian,MAE,539.3644795321638,211.2874254204845,0.391734037806558
NASA93,DummyMedian,RMSE,1044.7055660055228,561.4991165118872,0.5374711639121719
NASA93,DummyMedian,MdAE,213.058,33.198572800649124,0.1558194144274842
NASA93,DummyMedian,MASE,1.0637007013252002,0.5441632548126593,0.511575529675748
NASA93,DummyMedian,MdASE,1.0309501177977511,0.188995133149451,0.18332131502148427
NASA93,ElasticNet,MAE,1232.9314812981806,2010.6980740390907,1.6308271015236584
NASA93,ElasticNet,RMSE,4247.068147453679,8475.45067354503,1.9956003481146198
NASA93,ElasticNet,MdAE,139.77434631512864,55.085184451557836,0.39410081964128363
NASA93,ElasticNet,MASE,2.544178633972541,4.3754417874201925,1.7197855967332047
NASA93,ElasticNet,MdASE,0.6958406558134813,0.32170599426604946,0.4623270959450968
NASA93,GradientBoosting,MAE,313.64672172569897,150.84392354132194,0.48093575697702895
NASA93,GradientBoosting,RMSE,653.9945442414318,362.2064448888222,0.5538371047168399
NASA93,GradientBoosting,MdAE,84.13430822110818,52.412807948730006,0.6229659344765454
NASA93,GradientBoosting,MASE,0.6200570021581118,0.3764427317690957,0.6071098695568086
NASA93,GradientBoosting,MdASE,0.42642478136646333,0.30663443724545947,0.7190821065136953
NASA93,RandomForest,MAE,336.32484529277446,173.61555559995188,0.5162138867369596
NASA93,RandomForest,RMSE,749.3760171103049,464.88683999251214,0.6203652497166574
NASA93,RandomForest,MdAE,75.9143546292708,42.06468161182254,0.554107083063607
NASA93,RandomForest,MASE,0.6703251799303294,0.42702467969953073,0.6370410751592279
NASA93,RandomForest,MdASE,0.3807476748554239,0.23924644694419553,0.6283595579446303
